"entrez","wpids"
"1432","WP1449, WP1528, WP1539, WP1544, WP195, WP2018, WP2032, WP2034, WP2035, WP2036, WP2037, WP2203, WP23, WP2324, WP2355, WP2371, WP2374, WP2377, WP2380, WP2406, WP244, WP2447, WP2637, WP2643, WP2795, WP304, WP3303, WP3611, WP3612, WP3646, WP366, WP3668, WP382, WP3865, WP3874, WP3888, WP3915, WP395, WP400, WP408, WP422, WP437, WP481, WP585, WP615, WP69, WP712, WP727, WP75"
"1435","WP176, WP2848, WP2849, WP3892, WP3932, WP530"
"1436","WP2848, WP3640, WP3932"
"143686","WP3915"
"1437","WP2849, WP3617, WP3624, WP3863, WP3892, WP530"
"1439","WP127, WP286"
"1440","WP2849, WP3624, WP3932, WP530"
"1441","WP3932"
"144124","WP117, WP455"
"144125","WP455"
"144195","WP2884"
"1442","WP3932"
"1444","WP3932"
"144455","WP2361"
"1445","WP185, WP3888, WP3929, WP437, WP51"
"144715","WP3875"
"1452","WP2583, WP363, WP3658, WP3664"
"145226","WP716"
"1453","WP1984, WP3298, WP3594, WP363"
"1454","WP3298, WP3594, WP363, WP399, WP428"
"1457","WP231, WP2380"
"145873","WP2406, WP2854"
"1459","WP2328"
"145957","WP673"
"146","WP117, WP455, WP536, WP58"
"1462","WP2431"
"1463","WP2431"
"1464","WP2431"
"1465","WP3584"
"1466","WP2857"
"146850","WP3937"
"147","WP1403, WP455, WP536, WP58"
"1471","WP2377, WP2447, WP3594"
"1473","WP474"
"1477","WP411"
"1478","WP411"
"1479","WP411"
"147945","WP1433"
"148","WP1403, WP2197, WP3947, WP455, WP536, WP58"
"148022","WP1449, WP2513, WP3851, WP3858, WP75"
"1482","WP1591, WP1991, WP2406"
"148327","WP3932, WP45"
"148523","WP3594"
"1487","WP268, WP2858, WP363, WP3651, WP399"
"148738","WP3924"
"1488","WP2064, WP268, WP2853, WP2857, WP399"
"148867","WP3529"
"1489","WP1528, WP1544"
"1490","WP3624, WP3668, WP3888"
"1491","WP15, WP1533, WP176, WP2333, WP2525, WP28, WP3925, WP3940"
"1493","WP2328, WP2583, WP3863"
"149371","WP2290"
"1495","WP2118, WP2864, WP3888, WP3946"
"1496","WP2118, WP2858"
"1499","WP138, WP1544, WP1591, WP1984, WP2036, WP2064, WP2118, WP2272, WP2355, WP236, WP2363, WP2377, WP2380, WP2572, WP2853, WP2858, WP2870, WP306, WP3303, WP363, WP3658, WP3664, WP3680, WP3876, WP3888, WP3931, WP3939, WP399, WP428, WP560, WP706, WP710"
"15","WP3594, WP465, WP550"
"150","WP455, WP58"
"1500","WP3888, WP399"
"150094","WP3594, WP366"
"1501","WP2858"
"150572","WP1591, WP2369"
"150684","WP3286"
"1509","WP2037"
"151","WP455, WP58"
"1511","WP554"
"1513","WP12, WP2018"
"1514","WP2572"
"1515","WP474"
"151531","WP1601"
"151613","WP2858"
"151636","WP268"
"151742","WP3925"
"152","WP455, WP58"
"1524","WP24, WP3929, WP455"
"152789","WP1984, WP2858"
"1528","WP43"
"153","WP2197, WP3298, WP455, WP536, WP58"
"1535","WP231, WP3937, WP408"
"1536","WP3937, WP619"
"154","WP117, WP455, WP536, WP58"
"1540","WP1449, WP3865"
"154091","WP2853, WP2857, WP2884"
"154141","WP3664"
"1543","WP206, WP2586, WP2873, WP2881, WP3298, WP408, WP43, WP465, WP691, WP696, WP697, WP702"
"1544","WP206, WP2542, WP2586, WP2646, WP2873, WP2881, WP299, WP3298, WP3633, WP43, WP465, WP691, WP694, WP697, WP699, WP702"
