"mirtarbase","wptargets"
"mmu-miR-291a-3p","WP1261, WP1496, WP1763, WP2087, WP2573, WP2841, WP2902, WP413, WP488"
"mmu-miR-291b-3p","WP108, WP1243, WP1254, WP1256, WP1261, WP1496, WP1763, WP2087, WP2292, WP246, WP2573, WP265, WP2841, WP2902, WP3592, WP37, WP413, WP450, WP488, WP512, WP65, WP683"
"mmu-miR-294-3p","WP1261, WP1496, WP1763, WP2087, WP2573, WP2841, WP2902, WP413, WP488"
"mmu-miR-295-3p","WP1261, WP1496, WP1763, WP2087, WP2573, WP2841, WP2902, WP413, WP488"
"mmu-miR-296-3p","WP113, WP1243, WP1254, WP1266, WP1270, WP1496, WP1560, WP1596, WP2075, WP222, WP2432, WP246, WP2841, WP29, WP3632, WP3675, WP441, WP447, WP493, WP512, WP571, WP65"
"mmu-miR-296-5p","WP1763, WP723"
"mmu-miR-298-5p","WP113, WP1243, WP1254, WP1266, WP1270, WP1496, WP1560, WP1596, WP2075, WP222, WP2432, WP246, WP273, WP2841, WP29, WP3632, WP3675, WP431, WP441, WP447, WP493, WP509, WP512, WP571, WP65"
"mmu-miR-29a-3p","WP1, WP1244, WP1254, WP1259, WP1269, WP1270, WP1560, WP157, WP1763, WP1770, WP1983, WP2074, WP2075, WP2292, WP2316, WP238, WP2432, WP2573, WP2841, WP2902, WP2910, WP310, WP339, WP3632, WP3675, WP3855, WP386, WP435, WP447, WP454, WP458, WP493, WP512, WP523, WP572, WP6, WP65, WP730, WP85"
"mmu-miR-29a-5p","WP1254, WP297"
"mmu-miR-29b-1-5p","WP10, WP116, WP1244, WP1249, WP1254, WP1270, WP1498, WP151, WP1560, WP1763, WP216, WP2292, WP238, WP2432, WP246, WP2573, WP265, WP2841, WP297, WP339, WP3652, WP3675, WP37, WP373, WP3855, WP387, WP407, WP450, WP458, WP488, WP493, WP523, WP539, WP57, WP572, WP578, WP6, WP65, WP662, WP85"
"mmu-miR-29b-2-5p","WP113, WP1270, WP1498, WP1560, WP1763, WP222, WP2432, WP2573, WP3632, WP447, WP493"
"mmu-miR-29b-3p","WP1244, WP1254, WP1261, WP1270, WP1496, WP1498, WP1560, WP1763, WP1770, WP1983, WP202, WP2067, WP2074, WP2075, WP2084, WP2292, WP238, WP2432, WP246, WP2573, WP2841, WP2902, WP297, WP310, WP339, WP3632, WP3675, WP373, WP3855, WP3864, WP3991, WP435, WP447, WP458, WP493, WP512, WP539, WP57, WP572, WP6, WP723, WP730, WP85"
"mmu-miR-29c-3p","WP1244, WP1261, WP1270, WP1560, WP1763, WP1983, WP2074, WP2075, WP2292, WP265, WP2841, WP339, WP493, WP57, WP572, WP6, WP85"
"mmu-miR-301a-3p","WP1253, WP1254, WP1763, WP193, WP246, WP2841, WP2902, WP297, WP339, WP3675, WP407, WP65, WP85"
"mmu-miR-302a-3p","WP1244, WP1763, WP2087, WP2432, WP2872, WP2902, WP2904, WP3979, WP403, WP413, WP509, WP539, WP723, WP85"
"mmu-miR-302d-3p","WP1261, WP1496, WP1763, WP2087, WP2573, WP2841, WP2902, WP413, WP488"
"mmu-miR-3090-5p","WP1254, WP1270, WP1560, WP2841, WP2902, WP3632, WP3675, WP447, WP512, WP85"
"mmu-miR-30a-5p","WP113, WP1253, WP1254, WP1261, WP1270, WP1396, WP1763, WP2067, WP2074, WP2087, WP2185, WP2432, WP265, WP2841, WP2872, WP2902, WP2910, WP339, WP3638, WP3663, WP41, WP413, WP441, WP488, WP493, WP512, WP523, WP572, WP79, WP85"
"mmu-miR-30b-5p","WP1498"
