"entrez","wpids"
"13395","WP2074, WP2910"
"13404","WP273"
"13405","WP216"
"13429","WP1770, WP2573, WP373, WP572"
"13430","WP151"
"13433","WP1763, WP435, WP730"
"13435","WP1763, WP1770, WP435, WP730"
"13436","WP1763, WP435, WP730"
"13445","WP1763"
"13448","WP407"
"13449","WP572"
"13479","WP318"
"13488","WP1246, WP1396, WP41, WP570"
"13489","WP1246, WP1396, WP41, WP570"
"13490","WP1396, WP189, WP570"
"13491","WP1246, WP1396, WP189, WP570"
"13492","WP1396, WP41, WP570"
"13518","WP488"
"13542","WP1560, WP1763, WP2074, WP29, WP339, WP3857, WP403, WP447, WP539, WP723"
"13543","WP2074, WP29, WP339, WP3857, WP403, WP539, WP723"
"13544","WP2074, WP29, WP339, WP3857, WP403, WP539, WP723"
"13548","WP116"
"13555","WP2087, WP2432, WP2910, WP413, WP447"
"13557","WP413"
"13559","WP2432, WP413"
"13590","WP1763"
"13591","WP2872, WP447"
"13603","WP1396, WP189"
"13607","WP3652"
"13608","WP3652"
"13609","WP1396, WP353, WP41, WP57"
"13610","WP1396, WP353, WP57"
"13611","WP1396, WP353"
"13614","WP1560, WP3632, WP374"
"13617","WP1396, WP234, WP374, WP41"
"13618","WP1396, WP189, WP234, WP374"
"13619","WP1763"
"13626","WP1763"
"13627","WP307, WP572"
"13628","WP307"
"13629","WP307"
"13631","WP307"
"13636","WP2841"
"13637","WP2841"
"13638","WP2841"
"13639","WP2841"
"13640","WP1983, WP2841"
"13642","WP2432"
"13645","WP113, WP1261, WP1560, WP265, WP2841, WP339, WP3632, WP493, WP512, WP523, WP572, WP85"
"13649","WP1261, WP265, WP2841, WP339, WP3663, WP488, WP493, WP523, WP572, WP85"
"13653","WP2432, WP273, WP65"
"13654","WP2872, WP447"
"13660","WP65"
"13663","WP2902"
"13664","WP307"
"13665","WP307"
"13666","WP2075, WP307"
"13667","WP307"
"13669","WP307"
"13680","WP310"
"13681","WP307"
"13682","WP307, WP310"
