entrez,mirbase
100616162,hsa-mir-4483
100616327,hsa-mir-4484
100616118,hsa-mir-4486
100616222,hsa-mir-4487
100616470,hsa-mir-4488
100616284,hsa-mir-4489
100616186,hsa-mir-4490
100616330,hsa-mir-4491
100616376,hsa-mir-4492
100616319,hsa-mir-4493
100616478,hsa-mir-4494
100616287,hsa-mir-4495
100616454,hsa-mir-4497
100616179,hsa-mir-4498
100616304,hsa-mir-4499
554213,hsa-mir-449a
693123,hsa-mir-449b
100313923,hsa-mir-449c
100616182,hsa-mir-4500
100616137,hsa-mir-4501
100616227,hsa-mir-4502
100616280,hsa-mir-4503
100616261,hsa-mir-4504
100616158,hsa-mir-4505
100616140,hsa-mir-4506
100616135,hsa-mir-4507
100616275,hsa-mir-4508
100616382,hsa-mir-4509-1
100616228,hsa-mir-4509-1
100616223,hsa-mir-4509-1
100616382,hsa-mir-4509-2
100616228,hsa-mir-4509-2
100616223,hsa-mir-4509-2
100616382,hsa-mir-4509-3
100616228,hsa-mir-4509-3
100616223,hsa-mir-4509-3
554214,hsa-mir-450a-1
574505,hsa-mir-450a-2
100126302,hsa-mir-450b
100616293,hsa-mir-4510
100616379,hsa-mir-4511
100616149,hsa-mir-4512
100616183,hsa-mir-4513
100616181,hsa-mir-4514
100616404,hsa-mir-4515
100616258,hsa-mir-4516
100616405,hsa-mir-4518
100616231,hsa-mir-4519
100616385,hsa-mir-451a
574411,hsa-mir-451a
406936,hsa-mir-451a
100616385,hsa-mir-451b
100616273,hsa-mir-451b
574411,hsa-mir-451b
406936,hsa-mir-451b
